section;wkt
534;LINESTRING(100.36105 25.447611,100.36105 25.447611)
534;LINESTRING(100.36105 25.447611,100.36105 25.447611)
534;LINESTRING(100.36105 25.447611,100.388158 25.415308)
534;LINESTRING(100.299381 25.606867,100.211126 25.581666)
534;LINESTRING(100.252846 25.732691,100.318787 25.781627)
535;LINESTRING(100.318787 25.781627,100.252846 25.732691)
537;LINESTRING(100.556351 26.073122,100.57818 26.07646)
537;LINESTRING(100.556351 26.073122,100.57818 26.11682)
539;LINESTRING(102.95535 24.706241,103.039542 24.690901)
539;LINESTRING(102.954251 24.657873,103.027369 24.642971)
542;LINESTRING(103.107928 26.265371,103.107928 26.265371)
542;LINESTRING(103.107928 26.265371,103.107928 26.265371)
542;LINESTRING(103.088432 26.070927,103.181115 26.052938)
543;LINESTRING(103.088432 26.070927,103.159559 26.097064)
543;LINESTRING(103.091523 26.057736,103.181115 26.052938)
547;LINESTRING(99.900198 26.441511,99.86412 26.380379)
547;LINESTRING(99.898 26.539,99.898 26.539)
547;LINESTRING(99.898 26.539,99.898 26.539)
548;LINESTRING(99.86412 26.380379,99.900198 26.441511)
548;LINESTRING(99.781887 26.144208,99.748432 26.152168)
548;LINESTRING(99.781887 26.144208,99.768582 26.112682)
549;LINESTRING(98.641355 27.841906,98.641355 27.841906)
554;LINESTRING(99.748432 26.152168,99.781887 26.144208)
554;LINESTRING(99.768582 26.112682,99.768582 26.112682)
555;LINESTRING(99.768582 26.112682,99.781887 26.144208)
555;LINESTRING(99.768582 26.112682,99.768582 26.112682)
557;LINESTRING(100.12511 25.550442,100.202473 25.513903)
557;LINESTRING(100.12511 25.550442,100.202473 25.513903)
558;LINESTRING(100.202473 25.513903,100.224351 25.471275)
558;LINESTRING(100.202473 25.513903,100.202473 25.513903)
558;LINESTRING(100.202473 25.513903,100.202473 25.513903)
559;LINESTRING(102.188223 24.060437,102.19162 24.066045)
559;LINESTRING(102.188223 24.060437,102.184228 24.051307)
559;LINESTRING(102.242013 24.010684,102.17624 23.970852)
563;LINESTRING(102.100051 24.441465,102.100051 24.441465)
563;LINESTRING(102.100051 24.441465,102.097033 24.42081)
563;LINESTRING(102.2167075 24.306950999999998,102.16925 24.237325)
564;LINESTRING(102.434778 24.163501,102.434778 24.163501)
564;LINESTRING(102.250801 24.276074,102.158551 24.260007)
564;LINESTRING(102.250801 24.276074,102.16925 24.237325)
565;LINESTRING(102.434778 24.163501,102.434778 24.163501)
565;LINESTRING(102.717175 23.992391,102.717175 23.992391)
566;LINESTRING(102.873686 23.942457,102.873686 23.942457)
566;LINESTRING(102.717175 23.992391,102.717175 23.992391)
567;LINESTRING(102.097033 24.42081,102.100051 24.441465)
567;LINESTRING(102.097033 24.42081,102.100051 24.441465)
567;LINESTRING(102.158551 24.260007,102.250801 24.276074)
567;LINESTRING(102.158551 24.260007,102.16925 24.237325)
575;LINESTRING(99.139701 25.626629,99.118386 25.625795)
575;LINESTRING(99.139701 25.626629,99.139285 25.598182)
578;LINESTRING(99.118386 25.625795,99.139701 25.626629)
578;LINESTRING(99.118386 25.625795,99.139285 25.598182)
580;LINESTRING(99.134747 24.838079,99.134747 24.838079)
581;LINESTRING(99.134747 24.838079,99.134747 24.838079)
582;LINESTRING(99.139285 25.598182,99.139701 25.626629)
