#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
102.76547,28.90622,3.919001E-02,6.551446E-02,7.910082E-02,1.365971E-01,2.934736E-02,5.261056E-02
102.76667,29.04111,3.732051E-02,6.406932E-02,7.291282E-02,1.287799E-01,2.959445E-02,5.372154E-02
102.76789,29.17601,3.784372E-02,6.809488E-02,7.325619E-02,1.368270E-01,3.062239E-02,5.673574E-02
102.76911,29.31091,4.203992E-02,7.893634E-02,8.409135E-02,1.641097E-01,3.292009E-02,6.281868E-02
102.77034,29.44581,5.180218E-02,9.825469E-02,1.091777E-01,2.141606E-01,3.763087E-02,7.434969E-02
102.77158,29.58071,7.038276E-02,1.317798E-01,1.564859E-01,3.011037E-01,4.687078E-02,9.534720E-02
102.77283,29.71561,1.100536E-01,1.999413E-01,2.564062E-01,4.728038E-01,6.885899E-02,1.417281E-01
102.77408,29.85050,2.060446E-01,3.490464E-01,4.938758E-01,8.597106E-01,1.253875E-01,2.515605E-01
102.77535,29.98540,3.934931E-01,6.294788E-01,9.568813E-01,1.591169E+00,2.423495E-01,4.637873E-01
102.77662,30.12030,6.043733E-01,9.463925E-01,1.496994E+00,2.396331E+00,3.824536E-01,7.038426E-01
102.77791,30.25520,3.432917E-01,5.635570E-01,8.418219E-01,1.402518E+00,2.148170E-01,4.126199E-01
102.77920,30.39010,2.046402E-01,3.382735E-01,4.891147E-01,8.315160E-01,1.288018E-01,2.478227E-01
102.78050,30.52500,1.940592E-01,3.320385E-01,4.676394E-01,8.187155E-01,1.124076E-01,2.187972E-01
102.78181,30.65989,1.372663E-01,2.386487E-01,3.220892E-01,5.731738E-01,8.443669E-02,1.637095E-01
102.78312,30.79479,1.080339E-01,1.907582E-01,2.463347E-01,4.433880E-01,6.987576E-02,1.348934E-01
102.78445,30.92969,9.294850E-02,1.657478E-01,2.087922E-01,3.799026E-01,6.206788E-02,1.195920E-01
102.78579,31.06459,8.075554E-02,1.462775E-01,1.764265E-01,3.254451E-01,5.578469E-02,1.075871E-01
102.78713,31.19949,7.089604E-02,1.284335E-01,1.510589E-01,2.820078E-01,5.057608E-02,9.736627E-02
102.78848,31.33438,6.338934E-02,1.167329E-01,1.320721E-01,2.495165E-01,4.667832E-02,9.026638E-02
102.78985,31.46928,5.687291E-02,1.063212E-01,1.150824E-01,2.208709E-01,4.328991E-02,8.396540E-02
102.79122,31.60418,5.122837E-02,9.660351E-02,1.006661E-01,1.961381E-01,4.046300E-02,7.871920E-02
102.79260,31.73908,4.640751E-02,8.895770E-02,8.837983E-02,1.755616E-01,3.826480E-02,7.478992E-02
102.79399,31.87398,4.285764E-02,8.360819E-02,7.934693E-02,1.610237E-01,3.653617E-02,7.190127E-02
102.79539,32.00888,4.040272E-02,8.015872E-02,7.300346E-02,1.513112E-01,3.529904E-02,7.010852E-02
102.91956,28.90622,4.559036E-02,7.587753E-02,9.691641E-02,1.649809E-01,3.125984E-02,5.577178E-02
