#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:57:54', checksum=456785265, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
102.15905,32.00888,0.00000,3.294086E-02,2.074540E-02,1.239805E-02,7.007591E-03,3.733073E-03,1.863006E-03,8.634788E-04,3.699022E-04,1.483868E-04,5.760408E-05,2.204399E-05,8.211325E-06,2.755668E-06,7.614817E-07,1.596878E-07,2.128268E-08,5.735334E-10,0.000000E+00,0.000000E+00,0.000000E+00
102.30318,28.90622,0.00000,5.955222E-02,3.470904E-02,1.900772E-02,9.741873E-03,4.646892E-03,2.048372E-03,8.251940E-04,2.987157E-04,9.432419E-05,2.447759E-05,4.840592E-06,5.891864E-07,1.915285E-08,1.426962E-09,1.234388E-10,1.542921E-11,3.147815E-12,6.343814E-13,1.051381E-13,7.660539E-15
102.30378,29.04111,0.00000,5.664106E-02,3.355033E-02,1.884143E-02,1.000190E-02,4.996758E-03,2.334923E-03,1.012456E-03,4.014994E-04,1.418743E-04,4.258265E-05,1.013075E-05,1.735524E-06,1.456606E-07,1.028700E-08,1.212664E-09,1.016894E-10,1.444589E-11,2.946865E-12,5.445644E-13,6.183942E-14
102.30438,29.17601,0.00000,5.565215E-02,3.384859E-02,1.972770E-02,1.099165E-02,5.823866E-03,2.914171E-03,1.365357E-03,5.906851E-04,2.307098E-04,7.871114E-05,2.222709E-05,4.921499E-06,7.520080E-07,8.351697E-08,1.232335E-08,1.326135E-09,1.039568E-10,1.549127E-11,2.502554E-12,2.979839E-13
102.30500,29.31091,0.00000,5.667359E-02,3.580626E-02,2.189657E-02,1.292171E-02,7.306175E-03,3.921270E-03,1.975663E-03,9.229308E-04,3.930532E-04,1.493722E-04,4.919090E-05,1.356541E-05,3.123036E-06,6.036144E-07,1.309750E-07,2.856457E-08,5.555209E-09,8.294554E-10,6.725032E-11,1.985634E-12
102.30561,29.44581,0.00000,6.031450E-02,3.989752E-02,2.573014E-02,1.610259E-02,9.699859E-03,5.555349E-03,2.987439E-03,1.489148E-03,6.808014E-04,2.820056E-04,1.048612E-04,3.457763E-05,1.026364E-05,2.814797E-06,7.708687E-07,1.927393E-07,3.959531E-08,6.602609E-09,8.234660E-10,5.041367E-11
102.30623,29.58071,0.00000,6.698567E-02,4.657596E-02,3.167509E-02,2.095809E-02,1.336783E-02,8.115216E-03,4.614235E-03,2.423116E-03,1.159484E-03,5.002491E-04,1.926187E-04,6.583466E-05,1.966992E-05,5.242568E-06,1.287118E-06,3.140321E-07,6.628306E-08,1.127349E-08,1.355770E-09,9.196677E-11
102.30685,29.71560,0.00000,7.627353E-02,5.573476E-02,3.982332E-02,2.769506E-02,1.858661E-02,1.188712E-02,7.133110E-03,3.944490E-03,1.976800E-03,8.832325E-04,3.467447E-04,1.180288E-04,3.444489E-05,8.296898E-06,1.643697E-06,3.259811E-07,6.854438E-08,1.151771E-08,1.458753E-09,1.052837E-10
102.30749,29.85050,0.00000,8.725816E-02,6.695190E-02,5.011871E-02,3.646646E-02,2.563026E-02,1.722260E-02,1.091262E-02,6.403478E-03,3.411539E-03,1.615249E-03,6.650273E-04,2.329484E-04,6.826673E-05,1.632676E-05,2.899997E-06,3.630692E-07,6.824141E-08,1.225499E-08,1.682319E-09,1.235358E-10
102.30812,29.98540,0.00000,9.609943E-02,7.642679E-02,5.916759E-02,4.442513E-02,3.220790E-02,2.237736E-02,1.472321E-02,9.025952E-03,5.054459E-03,2.522870E-03,1.095855E-03,4.028257E-04,1.218647E-04,3.000947E-05,5.475715E-06,6.039896E-07,5.963701E-08,1.129065E-08,1.636227E-09,1.146481E-10
102.30875,30.12030,0.00000,1.048118E-01,8.623183E-02,6.909158E-02,5.368152E-02,4.032143E-02,2.915844E-02,2.014461E-02,1.313703E-02,7.953449E-03,4.379405E-03,2.139631E-03,9.049124E-04,3.216088E-04,9.330108E-05,2.174685E-05,3.497925E-06,2.596827E-07,7.726592E-09,1.061260E-09,7.961276E-11
102.30939,30.25520,0.00000,1.023298E-01,8.247086E-02,6.445348E-02,4.872026E-02,3.552704E-02,2.486109E-02,1.654446E-02,1.033573E-02,5.959930E-03,3.107579E-03,1.433937E-03,5.716647E-04,1.917779E-04,5.289867E-05,1.140541E-05,1.592002E-06,8.698237E-08,9.060027E-09,1.077143E-09,7.036094E-11
